mint,slot,status,origin,fee_payer,signature,solscan_url
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715099,OK,OURS,DjyL5kYWa8zwXP87m8A5K2udr72gjCzbNxYq3Ks3wfCU,G2bBAywy5YcRzHPNw5oEN9rGr9kg1TwMJLJjm7znXeU6DYRX6QfuBzkVb2V2BBsgNoUA8bShmxXPqfDjCkUpiGz,https://solscan.io/tx/G2bBAywy5YcRzHPNw5oEN9rGr9kg1TwMJLJjm7znXeU6DYRX6QfuBzkVb2V2BBsgNoUA8bShmxXPqfDjCkUpiGz
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715099,OK,OURS,7CYs7Qa3sbjdj6dBMDdnCJYabgAALK5VcPibyYnBEj1U,2HTd7775NnC1QsqM42kuvfzK88z9Qhtv5WHjgSSt8Zb8SKswGA1jLssL5dV4fkHrUaiLc8g4autVu79Rhn9Kthgw,https://solscan.io/tx/2HTd7775NnC1QsqM42kuvfzK88z9Qhtv5WHjgSSt8Zb8SKswGA1jLssL5dV4fkHrUaiLc8g4autVu79Rhn9Kthgw
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715096,OK,OURS,3wtvJgANGuHEZW1M2a3a6yderVTtZNfKhzrDvoqPahUA,2KFfSrTNQqoFpWC6vpy5CfAuhvMLKrs7ZdxiH97Ks39MH6jHccVvKiyXz2SYwPwaWigCtN36dUCzoSdWPPp6GfUE,https://solscan.io/tx/2KFfSrTNQqoFpWC6vpy5CfAuhvMLKrs7ZdxiH97Ks39MH6jHccVvKiyXz2SYwPwaWigCtN36dUCzoSdWPPp6GfUE
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715096,OK,OURS,APMxwBehww8JSXGT8FKo4BSJTp6MQXPvu2RG8tcQVoyA,49xXAQhBS52gZhXhps6yNSEeFjxJSkcMU6p6S8g41cJzTGwZFCPDEtopdndTPmrFpNy55YgSrjgD7RR7eRUTGQQy,https://solscan.io/tx/49xXAQhBS52gZhXhps6yNSEeFjxJSkcMU6p6S8g41cJzTGwZFCPDEtopdndTPmrFpNy55YgSrjgD7RR7eRUTGQQy
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715093,OK,OURS,DSz3qGyqxAvT3dVTvgHtpVe4sP1vyZzABciK3EthCmQD,5y28Bwjdpg1X9jZLDJsQQCPYaMKBU36WEVc21uNHCAFt2fSaPWaew7oyBh89Q85jmyPprVWvw5o5zMpZG1GkaXh1,https://solscan.io/tx/5y28Bwjdpg1X9jZLDJsQQCPYaMKBU36WEVc21uNHCAFt2fSaPWaew7oyBh89Q85jmyPprVWvw5o5zMpZG1GkaXh1
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715093,OK,OURS,2V7eGvkSE3NxyyJXSsWXNytjw3FpdUriScCx6vNGcqgm,2YLb22mjKvzBknAQiqout9TW1PFiaaVSYJApEoN7w5jM1cKQNMNrRsa6eCPQSuHVyhWZJJD3hVNymbKN35aKuS3v,https://solscan.io/tx/2YLb22mjKvzBknAQiqout9TW1PFiaaVSYJApEoN7w5jM1cKQNMNrRsa6eCPQSuHVyhWZJJD3hVNymbKN35aKuS3v
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715090,OK,OURS,ELKcuLiB6fCR3Me78vv3ZXw7uDq5YsSZWEQj4ucBeiST,5Fh721TVikbR9u4fVBMpykwdxmEZpgMWBMNu5dSQSXv9qzDBzgxjYoVYsBQJsKTtzKXZEX18YMZJuzK2zShCqPTP,https://solscan.io/tx/5Fh721TVikbR9u4fVBMpykwdxmEZpgMWBMNu5dSQSXv9qzDBzgxjYoVYsBQJsKTtzKXZEX18YMZJuzK2zShCqPTP
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715090,OK,OURS,7CYs7Qa3sbjdj6dBMDdnCJYabgAALK5VcPibyYnBEj1U,5jgSEuboJJZ1F8kyz4m8RqvTBoCXhcdUqpePgjmLoRRDrCPd4ZgxGgKFMwke1DB84dmjx9BsEGYik8iW1uJHWPyN,https://solscan.io/tx/5jgSEuboJJZ1F8kyz4m8RqvTBoCXhcdUqpePgjmLoRRDrCPd4ZgxGgKFMwke1DB84dmjx9BsEGYik8iW1uJHWPyN
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715087,OK,OURS,4Gd9KXfr8ibKdoiukP5PLfPqSH3SBk6UPSSQPgZTDukm,AfcksuqY2oLkiBGNs1vWWJUvkHNwsijjAwHjkKxHtaYdbD2fQ9VsmDmvxi826kFxnjZR9FR45XxBvJ2HMoEuRui,https://solscan.io/tx/AfcksuqY2oLkiBGNs1vWWJUvkHNwsijjAwHjkKxHtaYdbD2fQ9VsmDmvxi826kFxnjZR9FR45XxBvJ2HMoEuRui
AfvyJ26CfbEyBzuTYAzkSgBDndU4755QVYzGDqJQng8p,417715087,OK,OURS,APMxwBehww8JSXGT8FKo4BSJTp6MQXPvu2RG8tcQVoyA,1J3STGyuJubETMTSp8SuWrQsG1wVHakFQHh35KYkqRMbB13dTLr581c9ZLhB16yV9VeRKBMfgq5UCwfoUZczh7v,https://solscan.io/tx/1J3STGyuJubETMTSp8SuWrQsG1wVHakFQHh35KYkqRMbB13dTLr581c9ZLhB16yV9VeRKBMfgq5UCwfoUZczh7v
